"id","name_th","name_en","geography_id","created_at","updated_at","deleted_at"
"66","ภูเก็ต","Phuket","6","9/8/2019 03:33:09","16/5/2022 06:31:03",
"67","สุราษฎร์ธานี","Surat Thani","6","9/8/2019 03:33:09","16/5/2022 06:31:03",
"68","ระนอง","Ranong","6","9/8/2019 03:33:09","16/5/2022 06:31:03",
"69","ชุมพร","Chumphon","6","9/8/2019 03:33:09","16/5/2022 06:31:03",
"70","สงขลา","Songkhla","6","9/8/2019 03:33:09","16/5/2022 06:31:03",
"71","สตูล","Satun","6","9/8/2019 03:33:09","16/5/2022 06:31:03",
"72","ตรัง","Trang","6","9/8/2019 03:33:09","16/5/2022 06:31:03",
"73","พัทลุง","Phatthalung","6","9/8/2019 03:33:09","16/5/2022 06:31:03",
"74","ปัตตานี","Pattani","6","9/8/2019 03:33:09","16/5/2022 06:31:03",
"75","ยะลา","Yala","6","9/8/2019 03:33:09","16/5/2022 06:31:03",
"76","นราธิวาส","Narathiwat","6","9/8/2019 03:33:09","16/5/2022 06:31:03",
"77","บึงกาฬ","buogkan","3","9/8/2019 03:33:09","16/5/2022 06:31:03",
